YEAR,PLANT,BLOOMDAY,METHOD
1966,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",97,Newspaper archives
1967,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",64,Newspaper archives
1968,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",,Newspaper archives
1969,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",107,Newspaper archives
1970,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",,Newspaper archives
1971,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",109,Newspaper archives
1972,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",89,Newspaper archives
1973,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",86,Newspaper archives
1974,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",,Newspaper archives
1975,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",91,Newspaper archives
1976,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",100,Newspaper archives
1977,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",87,Newspaper archives
1978,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",79,Newspaper archives
1979,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",,Newspaper archives
1980,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",92,Newspaper archives
1981,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",113,Newspaper archives
1982,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",90,Newspaper archives
1983,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",67,Newspaper archives
1984,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",92,Newspaper archives
1985,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",91,Newspaper archives
1986,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",81,Newspaper archives
1987,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",71,Newspaper archives
1988,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",100,Newspaper archives
1989,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",87,Newspaper archives
1990,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",76,Newspaper archives
1991,"Somei-yoshino (Prunus x yedoensis), Liberal Arts Quadrangle, University of Washington",89,Newspaper archives
