YEAR,TRANSITION,TRANSITIONDATE
2018,Red Bud-Green Color in Buds,
2018,Green Color in Buds-Florets Visible,7-Feb
2018,Florets Visible-Extension of Florets,
2018,Extension of Florets-Peduncle Elongation,
2018,Peduncle Elongation-Puffy White,12-Mar
2018,Puffy White-Bloom,16-Mar
2019,Red Bud-Green Color in Buds,23-Jan
2019,Green Color in Buds-Florets Visible,6-Feb
2019,Florets Visible-Extension of Florets,25-Feb
2019,Extension of Florets-Peduncle Elongation,5-Mar
2019,Peduncle Elongation-Puffy White,18-Mar
2019,Puffy White-Bloom,21-Mar
2020,Red Bud-Green Color in Buds,30-Jan
2020,Green Color in Buds-Florets Visible,1-Feb
2020,Florets Visible-Extension of Florets,19-Feb
2020,Extension of Florets-Peduncle Elongation,24-Feb
2020,Peduncle Elongation-Puffy White,2-Mar
2020,Puffy White-Bloom,6-Mar
2021,Red Bud-Green Color in Buds,9-Feb
2021,Green Color in Buds-Florets Visible,24-Feb
2021,Florets Visible-Extension of Florets,3-Mar
2021,Extension of Florets-Peduncle Elongation,9-Mar
2021,Peduncle Elongation-Puffy White,20-Mar
2021,Puffy White-Bloom,30-Mar
2022,Red Bud-Green Color in Buds,16-Feb
2022,Green Color in Buds-Florets Visible,16-Feb
2022,Florets Visible-Extension of Florets,8-Mar
2022,Extension of Florets-Peduncle Elongation,
2022,Peduncle Elongation-Puffy White, 
2022,Puffy White-Bloom,28-Mar
2023,Red Bud-Green Color in Buds,23-Jan
2023,Green Color in Buds-Florets Visible,1-Feb
2023,Florets Visible-Extension of Florets,11-Feb
2023,Extension of Florets-Peduncle Elongation,8-Mar
2023,Peduncle Elongation-Puffy White,14-Mar
2023,Puffy White-Bloom,25-Mar
2024,Red Bud-Green Color in Buds, 
2024,Green Color in Buds-Florets Visible,12-Feb
2024,Florets Visible-Extension of Florets,21-Feb
2024,Extension of Florets-Peduncle Elongation,27-Feb
2024,Peduncle Elongation-Puffy White,1-Mar
2024,Puffy White-Bloom,8-Mar
