STATIONID,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/1/63,11.1,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/2/63,11.1,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/3/63,11.1,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/4/63,7.8,5,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/5/63,5.6,3.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/6/63,5,3.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/7/63,3.3,2.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/8/63,7.8,2.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/9/63,4.4,0.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/10/63,0.6,-5.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/11/63,-1.7,-8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/12/63,0,-7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/13/63,0.6,-2.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/14/63,4.4,0.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/15/63,7.8,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/16/63,7.8,5.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/17/63,6.7,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/18/63,6.7,0.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/19/63,3.3,-2.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/20/63,6.1,-0.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/21/63,4.4,-0.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/22/63,6.7,2.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/23/63,7.8,-0.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/24/63,4.4,1.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/25/63,7.2,2.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/26/63,6.1,-1.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/27/63,4.4,-1.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/28/63,2.8,-0.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/29/63,1.7,-2.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/30/63,1.7,-1.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,1/31/63,2.2,0,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/1/63,6.7,1.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/2/63,12.8,2.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/3/63,14.4,12.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/4/63,14.4,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/5/63,15.6,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/6/63,16.7,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/7/63,17.8,9.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/8/63,20.6,9.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/9/63,15.6,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/10/63,20,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/11/63,15.6,5,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/12/63,20.6,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/13/63,12.2,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/14/63,13.9,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/15/63,11.1,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/16/63,12.8,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/17/63,10,7.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/18/63,11.1,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/19/63,13.3,9.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/20/63,12.2,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/21/63,12.8,5.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/22/63,8.3,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/23/63,7.8,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/24/63,7.2,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/25/63,11.1,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/26/63,13.3,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/27/63,11.1,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,2/28/63,11.7,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/1/63,8.3,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/2/63,8.9,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/3/63,11.1,2.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/4/63,8.9,1.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/5/63,12.2,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/6/63,12.2,1.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/7/63,15,3.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/8/63,15.6,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/9/63,13.3,3.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/10/63,10.6,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/11/63,10,3.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/12/63,13.3,3.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/13/63,10,3.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/14/63,10,5.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/15/63,9.4,3.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/16/63,8.3,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/17/63,11.7,5,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/18/63,10,6.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/19/63,12.8,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/20/63,16.7,9.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/21/63,17.2,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/22/63,11.7,7.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/23/63,10,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/24/63,15.6,5.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/25/63,12.2,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/26/63,11.7,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/27/63,11.7,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/28/63,8.3,5,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/29/63,8.9,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/30/63,7.8,2.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,3/31/63,10.6,3.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/1/63,11.1,3.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/2/63,12.2,2.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/3/63,11.1,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/4/63,15.6,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/5/63,11.1,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/6/63,10,6.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/7/63,14.4,5.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/8/63,11.1,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/9/63,16.1,6.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/10/63,16.7,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/11/63,17.2,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/12/63,15,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/13/63,21.1,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/14/63,13.3,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/15/63,10,5,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/16/63,10.6,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/17/63,11.1,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/18/63,11.1,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/19/63,12.2,5.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/20/63,10.6,3.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/21/63,16.7,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/22/63,12.2,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/23/63,13.3,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/24/63,11.7,6.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/25/63,17.8,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/26/63,14.4,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/27/63,15.6,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/28/63,18.3,7.2,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/29/63,16.7,10,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,4/30/63,14.4,9.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/1/63,11.1,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/2/63,11.7,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/3/63,13.9,4.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/4/63,14.4,5.6,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/5/63,14.4,9.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/6/63,13.9,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/7/63,16.1,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/8/63,16.1,6.7,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/9/63,16.7,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/10/63,17.2,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/11/63,17.8,9.4,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/12/63,16.7,8.3,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/13/63,20,7.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/14/63,21.1,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/15/63,16.7,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/16/63,18.3,8.9,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/17/63,21.7,11.1,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/18/63,28.9,12.8,,,,,,
USW00024281,"SEATTLE PORTAGE BAY, WA US",47.65,-122.3,5.8,5/19/63,30,12.8,,,,,,
